day,brief no.,date,new cases,confirmed total cases,new deaths,total deaths,new recoveries,total recoveries,Active cases,Daily tests,total tests,kenya,foreigners,male,total male,female,total female,nairobi,nairobi total,mombasa,mombasa total,kilifi,kilifi total,kwale,kwale total,kajiado,kajiado total,kitui,kitui total,kiambu,kiambu total,kakamega,kakamega total,kisii,kisii total,mandera,mandera total,siaya,siaya total,nakuru,nakuru total,homa bay,homa bay total,uasin gishu,uasin gishu total,wajir,wajir total,migori,migori total,bungoma,bungoma total,busia,busia total,isiolo,isiolo total,machakos,machakos total,bomet,bomet total,T.Taveta,T.Taveta total,Garissa,Garissa total,Meru,Meru total,makueni,makueni total,kirinyaga,kirinyaga total,Trans nzoia,Trans nzoia total,Turkana,Turkana total,kisumu,kisumu total,nyeri,nyeri total,embu,embu total,muranga,muranga total,kericho,kericho total,Laikipi,Laikipia total,E.Marakwet,E.Marakwet total,Marsabit,Marsabit total,Narok,Narok total,Vihiga,Vihiga total,Nandi,Nandi total,Nyamira,Nyamira total,Lamu,Lamu total
69,63,20-05-20,66,1029,0,50,8,366,613,2621,49405,64,2,43,,23,,26new,496,30new,361,,,,,3new,,,,,,,,1new,,,,,,1new,,,,1new,,,,,,,,1new,,,,,,,,,,,,1new,,1new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,64,21-05-20,80,1109,0,50,9,375,684,3102,52507,77,3,53,,27,,41new,537,20new,381,,10,6new,13,2new,48,,5,,17,,1,,1,,18,7new,9,,5,,2,,5,,16,,14,,2,,5,,1,,3,,1,1new,6,3new,5,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,65,22-05-20,52,1161,0,50,5,380,731,2567,55074,48,2,37,,15,,23new,,7new,,1new,,5new,,4new,,,,1new,,,,,,,,,,2new,,,,,,,,,,,,7new,,,,,,,,1new,,,,,,,,,,1new,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,66,23-05-20,31,1192,0,50,10,390,752,2576,57650,,,,,,,15new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,67,24-05-20,22,1214,1,51,3,393,770,1108,59260,,,17,,5,,10new,,,,,,1new,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,68,25-05-20,72,1286,1,52,9,402,832,2711,61971,70,2,44,,28,,52new,,11new,,,,,,,,,,7new,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,69,26-05-20,62,1348,0,52,3,405,891,2293,64264,59,3,45,,17,,23new,,16new,,,,8new,,6new,,3new,,6new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,70,27-05-20,123,1471,3,55,3,408,1008,3077,67341,,,78,,45,,85new,,24new,,,,,,3new,,1new,,4new,,,,,,,,,,,,,,1new,,,,,,,,1new,,,,,,,,,,1new,,,,,,,,,,,,2new,,,,,,,,,,,,,,,,,,,,,,,,,
77,71,28-05-20,147,1618,3,58,13,421,1139,2831,70172,147,0,87,,60,,90new,835,41new,490,1new,,,,1new,65,,,3new,39,,,,,,,,,,,1new,,2new,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,2new,,1new,,1new,1total,,,,,,,,,,,,,,,,,,
78,72,29-05-20,127,1745,4,62,17,438,1245,3831,74003,127,0,,,,,76new,,19new,,,,,,5new,,,,2new,,,,,,,,,,,,,,8new,,,,,,,,16new,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,73,30-05-20,143,1888,1,63,26,464,1361,2959,76962,143,0,110,,33,,86new,,25new,,,,3new,,1new,,,,6new,,,,1new,,,,,,,,,,11new,,,,3new,,,,3new,,1new,,,,,,,,1new,,,,1new,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,
80,74,31-05-20,74,1962,1,64,14,474,1424,1574,78536,,,55,,19,,35new,,23new,,1new,,2new,,2new,,,,2new,,,,,,,,,,,,,,2new,,,,,,,,6new,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,
81,75,01-06-20,59,2021,5,69,8,482,1470,1518,80054,,,35,,24,,29new,,14new,,1new,,,,2new,,,,1new,,,,,,,,,,,,,,,,,,,,,,4new,,,,,,,,2new,,,,,,,,,,,,6new,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,76,02-06-20,72,2093,2,71,17,499,1523,2892,82946,,,50,,22,,39new,,8new,,,,,,4new,,,,2new,,,,,,,,,,,,,,,,,,3new,,,,13new,,,,,,,,,,2new,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,
83,77,03-06-20,123,2216,3,74,54,553,1589,2112,85058,,,90,,33,,44new,,34new,,2new,,,,3new,,,,3new,,,,,,,,,,,,,,12new,,,,,,,,20new,,,,,,,,,,1new,,,,,,,,,,,,,,3new,,,,,,,,1new,,,,,,,,,,,,,,,
84,78,04-06-20,124,2340,4,78,39,592,1670,2640,87698,119,5,100,,24,,38new,,40new,,,,,,6new,,,,3new,,,,,,,,,,,,,,,,,,,,,,26new,,,,,,,,2new,,2new,,,,,,,,,,,,,,,,,,1new,,,,,,1new,,,,,,,,,,,,,
85,79,05-06-20,134,2474,1,79,51,643,1752,3177,90875,131,3,98,,36,,31new,,67new,,2new,,,,1new,,,,,,,,,,,,,,2new,,,,1new,,,,,,,,15new,,,,5new,,,,4new,,1new,,,,,,,,,,,,1new,,,,,,1new,,,,,,,,,,,,,,,,,,,
86,80,06-06-20,126,2600,4,83,63,706,1811,3632,94507,,,98,,28,,8new,,56new,,,,,,1new,,,,,,,,,,,,,,1new,,,,1new,,,,3new,,,,54new,,,,1new,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,
87,81,07-06-20,167,2767,1,84,46,752,1931,2833,97340,162,5,125,,42,,54new,,47new,,,,1new,,,,,,14new,,,,,,,,1new,,,,1new,,11new,,,,1new,,,,28new,,,,3new,,,,,,,,,,1new,,,,,,1new,,4new,,,,,,,,,,,,,,,,,,,,,,,,,
88,82,08-06-20,95,2862,1,85,97,849,1928,1096,98439,92,3,57,,38,,13new,,56new,,3new,,1new,,6new,,1new,,,,,,,,,,,,,,,,,,,,,,,,10new,,,,,,,,,,1new,,,,,,,,,,,,,,,,,,,,,,,,,,1new,,,,,,,,,,,
89,83,09-06-20,127,2989,3,88,24,873,2028,2247,100686,124,3,,,,,62new,,34new,,4new,,4new,,,,,,4new,,,,,,,,,,,,,,1new,,,,,,,,14new,,,,4new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
